K	L	M
17.66	17.13	16.91
20.05	8.92	4.08
23.87	15.62	32.63
15.44	9.98	24.64
14.97	26.64	19.85
30.87	25.49	17.73
17.9	12.59	22.2
14.48	21.49	19.03
15.25	16.89	18.25
31.79	29.72	17.05
20.44	31.72	20.25
14.35	22.51	23.78
18.3	25.25	26.06
23.65	17.56	22.18
18.19	19.25	22.37
19.64	10.86	19.71
25.19	29.99	31.03
18.96	24.7	18.95
16.41	17.75	20.53
19.14	37.07	22.42
23.17	20.01	18.96
17.65	22.51	31.56
21.1	25.63	25.95
23.55	22.02	25.37
30.82	23.12	25.34
17.08	24.35	26.57
14.79	26.26	16.85
17.93	16.88	27.88
19.41	22.21	15.92
16.69	18.76	14.73
23.84	17.03	19.89
20.08	12.35	33.2
15.03	21.81	24.99
19.26	20.76	26.26
15.75	26.05	23.82
28.07	22.61	21.32
28.61	12.72	21.34
15.96	22.94	17.75
38.85	16.47	19.22
19.67	25.84	17.48
30.15	7.37	16.41
16.76	1.42	6.7
24.54	25.69	28.96
38.7	13.76	22.28
17.86	22.64	12.55
20.14	7.42	22.38
22.54	25.84	30.71
22.16	16.04	23.32
16.52	17.59	27.38
34.1	21.39	22.72
19.44	26.32	26.79
27.31	25.31	31.17
20.06	29.72	20.93
32.87	12.53	6.09
27.45	25.41	18.2
21.38	22.56	17.23
26.71	27.49	29.6
25.44	26.8	22.19
15.89	17.53	20.77
31.22	25.19	25.44
24.42	21.74	23.97
25.44	22.3	30.03
47.77	22.01	13.23
15.65	31.05	30.44
16.26	24.41	26.91
24.72	22.41	15.92
18.75	33.94	23.88
19.33	27.04	32.02
21.13	21.13	10.41
22.95	18.65	13.34
28.86	9.3	20.15
21.19	18.39	20.96
21.75	18.75	28.7
36.24	24.43	28.34
18.44	22.59	22.9
17.6	21.42	18.06
17.59	19	12.19
20.67	17.87	21.39
21.03	27.49	28.69
16.75	22.32	20.51
19.63	26.16	21.33
20.75	14.08	21.21
28.26	22.4	20.71
20.2	26.57	18.31
21.96	25.08	29.08
19.14	18.58	24.56
15.24	21.68	17.75
14.65	27.85	26.33
16.97	16.66	18.18
35.27	27.56	18.72
21.81	20.94	28.06
20.55	15.86	16.34
43.38	31	22.07
33.74	20.54	21.7
25.81	20.62	9.73
18.21	22.14	13.75
31.64	18.03	22.46
16.81	28.66	25.83
32.94	18.78	13.91
21.92	17.07	24.68
33.88	21.42	12.8
23.47	36.13	22.02
27.09	20.57	20.89
20.99	21.43	7.45
25.8	28.28	14.53
23.98	18.3	12.22
28.31	29.94	19.56
20.93	25.13	19.01
17.32	13.17	20.2
15.59	13.99	15.19
18.69	29.57	25.76
18.75	19.21	13.95
30.27	14.88	26.25
30.53	15.88	27.72
16.1	16.04	13.64
16.09	23.98	26.38
22.06	33.52	22.39
19.72	22.8	18.66
24.97	13.84	24.24
19.07	26.24	15.38
24.37	14.42	26.87
16.77	19.87	23.29
20.96	13.84	29.59
15.22	15.72	23.21
33.06	15.53	28.08
16.65	27.46	19
20.84	12.06	17.83
30.98	18.53	25.41
19.01	26.36	18.96
18.13	28.6	14.86
15.97	23.8	20.05
14.68	25.26	17.25
19.25	28.45	24.52
33.13	13.51	19.97
18.66	30.13	27.11
29.69	24.78	22.96
30.03	22.74	25.27
23.78	20.94	26.64
17.85	21.5	14.8
19.47	9.14	18.76
20.41	15.79	22.91
24.17	18.79	23.26
27.51	12.2	22.67
34.71	20.46	27.38
24.04	18.01	23.62
17.7	18.67	27.03
16.23	26.76	18.49
17.27	27.78	23.86
14.56	28.09	23.99
22.74	24.45	38.66
25.7	27.94	29.95
15.02	25.31	28.79
25.48	23.8	23.51
14.73	25.58	9.11
13.66	18.49	21.51
14.66	17.49	17
24.22	19.21	23.11
18.33	30.16	27.97
23.27	17.51	19.39
24.47	23.98	28.59
16.51	24.01	19.6
19.37	19.25	21.11
21.16	15.09	18.44
30.45	11.49	10.89
21.2	40.93	19.04
20.5	19.82	21.85
19.66	27.36	8.93
22.35	35.57	23.3
28.5	16.74	21.1
25.95	21.61	23.09
26.75	18.54	35.72
18.55	17.26	27.6
19.27	18.88	24.75
22.78	12.26	23.67
20	18.27	20.16
35.74	24.66	26.82
38.72	24.13	35.45
28.57	25.57	24.79
14.6	19.93	15.41
27.59	27.59	21.22
37.57	12.9	22.31
16.32	19.11	17.49
20.25	22.57	12.01
17.25	25.79	18.78
14.79	25.15	16.41
19.44	23.4	8.85
20.17	21.41	24.22
19.1	16.76	23.89
19.54	20.7	17.79
21.4	33.44	9.2
21.07	14	21.97
21.69	20.05	29.63
22.28	24.41	30.04
25.83	20.23	19.03
17.17	21.5	6.79
21.25	16.43	25
17.09	23.19	16.09
23.2	23.76	7.59
14.45	22.74	16.88
18.35	27.41	24.02
23.34	24.61	18.51
16.66	23.4	19.89
36.31	17.33	22.73
14.67	24.38	29.47
28.24	21.95	18.46
19.25	28.61	20.09
20	20.91	22.07
34.7	34.33	23.34
22.26	27.46	21.86
22.65	25.98	17.6
49.49	19.89	26.3
17.21	19.56	23.64
45.12	27.51	24.95
19.62	22.67	21.33
21.4	22.8	13.98
25.65	29.06	23.14
24.65	25.12	21.75
33.47	17.55	17.92
41.2	24.24	29.3
20.37	19.3	18.33
21.82	6.69	35.56
16.8	20.6	29.24
19.61	18.81	15.7
22.67	35.34	29.3
31.2	15.31	14.75
21.48	14.61	30.54
34.3	16.06	26.33
23.43	31.51	20.16
17.94	30.88	30.1
20.6	18.27	14.66
38.58	15.92	19.37
17.11	28.94	29.17
19.03	24.55	21.61
19.42	17.42	12.97
28.3	7.29	29.02
19.25	31.05	30.19
30.7	15.66	23.69
28.17	15.57	24.88
18.95	23.9	29.94
25.31	8.86	25.29
21.91	26.9	19.99
30.59	31.69	11.13
14.49	24.92	21.34
19.52	10.97	27.17
25.37	23.5	32.4
17.17	17.9	19.47
22.92	18.57	23.17
14.92	11.23	23.04
18.55	26.01	31.01
28.65	18.91	15.94
19.22	18.3	23.8
17.28	8.05	12.9
22.51	33.87	16.9
27.52	16.39	27.61
22.02	15.74	19.49
24.31	10.8	16.77
21.18	22.42	25.74
21.42	14.5	31.71
27.93	21.8	23.38
22.31	22.29	21.08
17.57	15.13	17.74
26.51	17.9	17.69
14.79	20.55	19.28
26.34	16.18	21.57
17.68	18.91	26.62
15.09	17.64	14.32
14.35	23.07	15.37
20.21	19.62	30.45
14.91	20.07	30.74
21.99	14.15	24.2
20.1	12.69	17.45
28.34	19.28	27.64
33.64	22.43	22.26
21.7	21.21	17.27
22.27	21.47	19.02
31.72	18.47	19.05
23.95	20.4	11.98
18.66	9.93	23.89
15.2	18.39	15.68
36.26	18.47	17.16
32.26	24.63	26.5
23.12	28.62	25.6
28.18	15.19	18.52
14.77	7.56	20.54
32.45	31.54	25
29	19.09	17.89
19.6	24.51	23.79
14.34	18.41	19.88
19.07	22.08	17.29
19.39	18.74	26.29
21.13	14.13	29.07
21.94	29.7	22.64
22.69	30.24	34.03
16.17	21.94	14.42
16.21	30.97	18.08
18.43	22.66	20.52
28.14	23.72	16.73
25	23.48	22.99
29.02	23.31	36.87
21.55	15.21	22.04
18.57	8.6	24.12
33.14	11.73	25.32
20.53	12.22	35.64
15.87	16.85	12.39
17.24	31.14	19.52
19.81	13.2	26.71
20.59	29.65	24.45
19.83	25.08	27.37
16.57	30.99	18.48
14.39	24.01	23.79
21.91	23.34	21
34.01	29.28	19.22
21.62	18.19	21.25
36.47	22.71	36.19
14.09	24.73	11.51
14.74	15.86	27.23
14.42	28.62	26.67
17.78	18.84	33.19
16.65	20.97	29.56
21.09	18.49	14.49
47.85	17.91	15.05
18.73	22.11	21.29
21.99	13.76	13.63
17.95	14.99	24.03
20.06	25.02	26.86
23.44	31.01	31.21
14.73	18.42	17.17
25.88	12.29	21.73
14.32	15.75	22.51
23.53	14.56	17.44
15.71	17.19	23.32
17.64	14.38	19.96
19.97	32.19	12.53
14.72	11.76	21.83
27.33	20.76	21.2
21.26	22.43	29.11
15.64	21.16	22.34
26.95	17.45	30.28
18.43	20.65	26.6
21.49	10.42	11.17
34.84	12.17	24.66
21.72	25.92	32.02
16.68	15.84	38.45
22.3	17.65	35.05
13.62	20.57	31.61
26.79	18.25	17.93
18.32	18.76	24.47
19.04	30.51	14.92
13.5	11.78	23.6
24.42	29.37	31.44
28.69	20.9	21.03
16.2	16.43	22.79
36.89	22.49	16.84
25.48	11.89	18.24
18.83	27.15	35.76
22.85	21.75	23.88
29.71	26.42	18.13
23.44	19.19	26.9
14.68	22.11	19.55
15.03	20.73	14.75
15.6	37.05	19.24
20.06	18.06	12.99
16.41	28.79	19.16
18.02	22.58	17.13
34.8	30.96	28.97
32.51	18.11	18.42
16.48	18.06	24.77
21.77	19.54	14.2
14.84	28.74	14.5
25.93	6.13	21.14
15.85	18.05	16.77
23.61	14.47	30.02
23.57	24.07	14.89
19.57	24.04	14
21.81	16.03	20.74
25.46	17.29	26.75
20.07	19.51	27.11
26.45	16.06	12.08
17.36	24.74	13.39
27.93	15.12	28.02
23.15	21.76	24.96
22.93	15.63	25.65
15.16	29.84	15.02
22.17	20.09	21.93
16.72	19.92	25.64
22.5	20.58	12.65
17.65	23.46	25.28
15.62	29.08	20.58
18.84	12.63	12.62
18.91	11.11	25.53
24.08	19.22	23.51
27.21	26.24	18
33.87	30.27	16.55
15.53	14.03	15.57
17.77	23.56	28.29
22.16	18.43	14.05
22.09	20.51	19.24
19.62	26.07	27.59
19.73	27.48	18.08
27.85	28.09	27.26
18.75	28.07	21.19
38.45	22.87	18.02
13.91	32.23	22.9
18.51	10.72	18.66
18.09	21.92	23.18
16.44	21.55	28.87
18.56	26.47	19
31.73	24.84	14.37
16.84	24.11	24.39
25.61	17.32	29.68
18.35	21.19	31.18
21.89	12.67	11.8
31.87	27.51	28.7
15.28	19.19	17.18
25.17	23.97	23.49
26.88	23.22	22.75
17.15	21.3	28.81
18.06	26.09	17.51
21.32	19.64	15.98
20.44	21.92	20.67
17.98	17.58	18.33
22.24	16.41	22.98
26.34	24.22	26.86
15.34	11.58	32.04
32.21	26.77	26.16
35.96	17.27	22.92
25.26	30.97	25.84
20.96	21.9	24.39
24.4	27.22	25.17
20.39	8.76	23.41
21.22	18.56	22.2
19.08	26.18	20.51
17.21	14.23	31.15
25.94	20.08	21.71
24.13	30.41	20.7
21.56	15.39	12.67
27.31	30.59	34.27
36.66	24.63	29.11
18.38	10.84	17.02
38.61	31.08	21.12
38.45	26.8	16.33
18.64	15.43	24.66
23	24.02	13.36
14.23	19.43	18.2
24.45	27.09	32.66
29.62	29.58	26.7
19.13	17.77	15.12
22.87	11.7	22.11
21.5	20.78	22.98
20.85	38.77	20.96
27.62	21	25.38
24.25	26.71	22.1
15.26	16.27	19.35
28.67	29.64	23.49
19.07	26.44	15.1
22.82	9.6	26.21
18.45	19.15	14.23
18	11.73	24.18
22.33	24.44	19.11
15.82	26.49	14.34
19.15	21.24	27.19
34.89	23.37	24.8
21.85	27.67	22.71
29.02	17.46	25.42
16.37	18.21	29.99
19.73	18.95	26.12
17.08	19.9	27.62
18.59	27.36	17.51
15.02	26.34	26.48
20.37	17.34	23.04
13.7	17.8	11.03
18.83	20.34	26.79
15.93	26.1	21.97
19.91	17.96	19.98
17.12	29.63	33.53
21.42	17.21	25.59
17.01	23.35	25.01
24.14	19.66	14.19
18.07	15.16	15.88
17.25	25.22	32.48
22.45	17.35	26.79
20.56	21.23	22.77
19.18	20.96	18.54
19.17	27.89	22.75
18.53	22.66	13.76
16.56	23.12	19.5
33.36	21.39	19.33
30.22	21.11	27.27
14.92	21.72	18.78
25.38	15.95	22.73
19.5	19.08	27.14
17.34	13.6	29.38
18.38	26.03	27.01
33.05	22.64	15.27
26.44	11.6	30.8
15.88	19.77	12.84
14.31	21.9	12.88
20.11	22.15	29.02
19.67	20.17	25.1
18.96	25.47	15.85
21.2	32.89	17.62
17.11	17.47	17.34
15.69	22.34	16.51
16.08	11.09	19.3
16.02	22.12	24.14
24.1	25.64	19.72
20.71	18.1	12.78
17.45	22.76	20.47
21.18	17.62	30.64
13.98	15.56	22.18
20.77	26.11	29.98
27.62	28.17	16.64
21.27	29.43	32.55
18.67	13.21	24.63
15.79	15.06	20.91
26.97	6.74	21.6
30.53	20.31	16.5
26.86	18.86	15.13
30.16	13.39	25.26
24.32	27.99	31.15
31.22	21.48	22.5
17.16	21.45	28.87
20.43	25.23	21.76
26.82	17.4	22.46
34.64	20.87	23.41
28.16	23.07	25.34
19.95	25.99	25.19
24.82	20.36	27.99
19.21	22.78	23.83
22.68	31.93	20.86
26.01	21.51	25.92
21.73	18.19	16.04
15.5	21.39	33.59
20.13	26.45	28.32
19.44	17.05	14.49
26.57	22.03	27.38
26.47	14.94	14.2
25.67	27.26	15.56
20.27	21.14	23.77
15.71	28.66	19.86
30.92	28.86	29.95
19.27	22.28	19.5
28.72	18.81	23.94
18.14	20.18	20.79
34.98	13.39	18.64
19.94	18.86	23.93
27.59	25.87	27.87
17.19	20.9	21.16
17.05	25.01	31.96
26.3	11.33	27.06
17.61	23.92	34.61
14.04	24.79	22.69
30.23	22.73	23.73
18.64	20.27	24.66
20.96	22.26	17.7
21.7	33.8	23.82
18.49	24.64	24.63
13.73	24.28	25.33
30.88	18.4	21.8
18.62	19.99	23.76
22.68	11.72	24.04
20.99	29.63	30.5
17.17	21.42	35.35
18.51	16.34	16.97
21.49	17.64	25.13
16.35	26.42	22.83
16.47	29.32	21.18
17.46	23.1	28.08
27.68	14.81	20.79
20.78	26.06	15.91
36.03	16.35	34.15
17.61	23.42	8.63
15.8	25.76	28.26
16.53	23.64	22.95
26.72	24.03	19.75
26.52	27.31	16.37
33.85	20.06	10.7
22.24	24.78	17.57
18.94	15.47	25.82
23.65	18.24	20.15
17.11	17.81	25.87
26.95	19.76	15.52
21.73	24.98	18.12
47.09	13.56	18.69
20.67	17.54	29.08
16.09	26.03	12.85
22.96	17.59	16.61
19.14	17.26	14.84
23.24	25.18	23.72
34.56	23.97	14.37
16.85	10.94	25.25
20.38	18.95	13.15
17.38	16.44	23.66
28.3	16.79	20.28
14.11	26.89	19.02
20.86	31.58	16.5
20.54	25.74	24.39
14.87	23.72	14.11
17.29	14.82	17.52
13.66	20.76	20
15.69	21.9	23.9
17.6	17.9	26.78
13.91	23.85	14.09
28.94	21.71	23.44
14.36	20.7	38.88
20.11	22.98	15.41
15.72	20.8	20.01
21.38	27.6	42.41
30.04	25.87	22.9
19.92	17.68	25.6
22.92	24.72	22.32
20.56	21.06	21.72
21.06	26.12	17.89
22.86	28.6	25.12
32.42	20.34	14.05
39.8	13.84	15.53
22.2	18.89	29.78
19.4	26.05	9.39
15.7	22.79	25.3
33.27	28.37	27.9
38.8	23.94	11.33
32.86	17.07	17.53
14.17	19.08	29.99
15.67	19.51	20.03
28.61	29.58	26.16
32.12	19.52	25.04
14.49	14.42	20.2
14.79	28.91	18.08
17.88	24.7	22.83
24.47	25.42	16.64
31.26	18.3	18.62
24.99	21.89	14.77
30.21	14.53	38.09
33.71	21.6	13.2
32.91	25.16	18.59
13.5	17.69	22.65
21.45	12.55	13.34
19.63	24.65	19.48
18.43	11.69	17.81
35.79	31.67	15.62
26.87	20.42	22
16.29	33.62	24.96
21.27	14.43	33.7
21.81	30.79	13.45
15.51	19.36	16.81
17.39	25.88	22.27
21.21	30.62	15.65
27.43	22.52	18.77
16.19	16.33	17.27
29.82	11.85	19.22
17.57	27.67	18.95
14.63	27.92	34.19
16.78	26.48	28.3
17.64	17.88	15.8
33.59	21.71	21.43
30.56	15.35	27.15
24.61	24.52	23.45
25.46	25.64	22.74
24.87	33.22	23.68
18.4	22.05	14.65
18.51	20.48	15.99
21.86	18.75	22.07
36.09	28.52	27.36
21.35	20.01	13.56
20.75	29.93	27.55
14.47	22.55	26.81
15.35	17.54	23.26
20.85	17.42	30.77
16.9	10.43	30.46
16.33	20.61	12.34
21.2	22.23	26.26
15.5	24.59	15.14
27.97	28.88	20.64
16.3	22.57	35.09
23.12	22.25	16.5
19.17	16.13	23.86
22.22	25.79	24.45
21.18	22.37	29.46
39.1	24.55	22.44
19.64	12.81	22.66
20.1	32.5	21.48
39.67	23.34	26.86
20.83	26.79	30.31
25.65	10.82	17.79
27.57	25.35	21.1
29.37	28.21	22.13
32.24	28.2	23.94
27.49	12.07	13.86
17.04	23.56	22.15
19.41	22.73	23.65
27.08	20.1	23.21
31.1	27.04	12.95
22.61	13.85	21.9
24.8	23.11	36.76
29.08	25.97	13.05
17.13	25.24	25.29
27.39	21.56	12.74
25.44	18.55	31.23
17.59	22.63	19.94
22.04	27.64	19.11
17.78	22.18	15.15
14.47	26.68	21.69
18.61	22.01	31.78
30.5	21.17	31.6
23.67	16.38	20.74
23.71	25.42	11.36
16.96	11.72	16.6
19.37	16.69	10.9
17.46	15.61	26.22
23.73	25.22	18.11
21.41	32.49	16.3
19.36	13.69	23.55
17.27	21.38	19.39
22.46	12.31	22.82
16.55	24.85	16.09
16.71	23.55	30.29
25.48	22.27	17.54
15.59	25.71	25.72
20.5	22.81	13.77
27.4	31.95	25.51
13.68	23.72	18.97
22.88	17.74	16.28
22.39	18.9	32.04
23.61	18.72	20.92
15.42	20.14	16.98
23.88	14	26.83
23.08	15.79	29.54
34.33	19.4	17.56
24.72	26.36	18.07
16.64	27.5	26.06
22.03	13.71	24.57
26.7	23.79	23.61
17.8	20.63	12.8
24.71	17.6	21.41
17.5	25.71	24.82
13.35	34.01	20.28
16.85	17.21	15.52
35.78	21.08	22.64
50.8	16.86	19.82
19.87	12.46	13.72
18.86	27.4	33.09
21.49	23.19	16.45
16.15	28.85	19.09
18.12	14.87	17.63
26.09	28.5	16.85
21.59	15.38	12.77
16.21	24.27	18.78
18	25.38	23.73
14.04	28.48	24.06
20.76	20.2	17.37
23.74	19.53	20.17
15.31	27.56	27.06
30.76	19.47	18.99
24.57	37.49	25.26
15.42	16.55	29.47
30.95	26.25	17
17.69	22.45	14.53
19.46	21.19	25.98
25.89	16.5	17.96
41.38	9.55	12.06
19.41	25.25	30.65
30.32	17.93	11.95
19.59	24.08	31.07
28.91	24.81	21.37
25.16	14.82	22.69
21.83	19.98	31.02
19.51	18.07	24.09
14.59	18.02	25.08
13.86	22.02	27.92
19.42	24.68	17.58
26.57	32.9	25.7
18.97	36.11	22.88
22.73	10.9	19.84
23.99	23.85	19.08
24.56	20.89	14.44
23.34	24.64	19
16.87	8.2	27.4
14.58	14.41	17.69
16	15.94	15.02
20.05	29.89	23.06
29.54	24.5	17.58
25.95	9.13	19.9
14.4	21.47	22.2
21.05	22.93	19.49
18.46	17.32	23.98
16.69	23.51	26.27
25.58	21.5	17.09
19.82	26.7	15.3
25.89	25.31	23.57
37.77	24.04	27.74
22.34	14.21	18.37
24.88	30.15	22.06
16.41	26.66	20.95
26.13	31.61	22.95
23.03	29.69	22.18
17.26	18.05	14.11
19.34	23.07	30.54
28.07	23.54	15.85
15.53	22.7	30.04
20	3.44	17.08
19.94	14.98	13.32
24.01	19.6	17.96
16.34	22.82	24.65
22.79	29.41	25.1
32.17	20.13	24.54
19.05	24.44	19.93
13.98	25.71	23.6
32.93	26.67	27.28
19.84	26.87	26.18
21.98	26.09	28.07
24.66	10.57	9.9
25.88	20.66	22.1
27.21	17.72	20.47
15.95	16.28	21.23
18.15	22.93	19.05
28.91	24.74	19.67
21.75	23.28	28.15
19.01	27.97	28.24
21.33	25.66	17.42
19.56	25.38	26.06
20.18	17.95	32.88
28.42	13.31	16.01
24.76	28.08	18.13
23.21	17.88	18.5
20.79	22.09	27.94
25.2	22.31	19.55
18.54	24.96	31.85
25.73	31.44	15.36
18.78	18.28	15.92
35.44	22.97	20.54
25.05	27.55	9.53
23.25	18.63	20.99
21.18	11.13	23.56
29.03	20.36	28.06
15.13	20.22	19.37
18.53	18.36	31.27
21.47	23.08	26.44
17.49	20.62	24.11
26.22	25.83	16.92
33.96	15.31	27.33
20.91	12.03	26.9
19.07	20.55	15.17
19.05	19.37	22.09
15.47	17.31	17.58
26.56	18.71	30.64
17.82	30.3	11.83
24.79	12.58	20.27
15.88	24.99	20.07
14.22	19.28	19.05
23.23	1.76	24.41
29.03	22.9	22.55
21.51	29.46	31.4
24.55	20.29	17.79
16.3	17.51	21.42
17.39	22.24	27.03
22.7	25.91	23.34
15.49	29.75	8.06
25.32	18.75	26.98
26.18	34.2	15.95
29.92	9.67	35.54
23.25	18.49	20.67
21.74	27.94	19.57
15.62	23.14	30.82
19.79	29.55	26.5
17.5	18.44	19.96
18.49	11.4	33.78
17.76	18.25	24.37
23.75	21.8	17.37
19.15	18.39	22.4
15.6	22.07	21.78
18.61	25.89	11.86
19.25	28.7	26.27
20.89	26.03	28.16
22.87	20.22	24.38
16.65	17.26	18.71
28.04	28.57	29.46
33.62	23.89	24.46
15.48	18.81	9.88
45.54	14.53	16.29
30.75	28.1	17.42
19.37	23.29	27.06
19.68	11.62	21.53
25.35	24.62	21.57
26.24	20.72	27.01
26.01	16.78	23.96
19.3	17.22	24.08
29.31	22.41	27.79
17.46	14.31	18.01
26.89	16.07	21.66
14.7	23.13	24.36
19.91	29.33	17.66
22.72	24.38	20.96
16.61	17.4	10.11
24.65	21.05	20.92
24.82	33.39	23.86
25.21	25.48	16.06
21.18	37.89	35.67
30.02	29.28	22.1
18.64	21.2	17.68
32.89	25.7	22.11
19.19	26.46	12.75
14.16	24.19	27.45
17.77	14.82	22.06
14.88	20.95	15.35
20.94	26.69	18.15
16.95	27.8	27.48
22.77	20.52	28.6
23.19	25.92	23.97
16.4	25.07	24.26
21.97	12.81	28.47
19	26.63	18.93
25.07	30.68	10.52
14.77	26.07	23.7
30.4	24.31	28.44
17.08	22.82	24.96
21.9	14.16	27.84
26.88	17.6	19.98
32.37	18.01	14.97
14.96	12.4	23.97
21.36	21.12	16.64
21.09	21.26	11.81
24.02	30.34	16.75
18.03	30.69	16.66
15.82	26.44	24.3
25.2	35.91	13.92
16.84	18.67	16.8
20.94	18.56	26.51
28.86	17.76	12.28
36.6	15.58	18.16
15.72	30.74	21.34
19.42	20.9	23.56
22.54	11.5	31.56
24.8	23.96	15.6
27.89	31.78	21.14
21.71	22.57	13.53
25.78	20.27	17.32
18.84	36.23	17.85
24.15	11.29	22
16.08	26.03	29.96
17.93	16.74	29.06
22.18	23.96	21
25.81	28.6	19.85
19.19	5.13	25.41
16.19	14.36	21.97
25.21	15.58	17.11
24.1	27.47	18.76
39.11	24.82	9.49
21.7	25.44	14.59
43.22	25.98	25.69
20.91	18.98	28.68
18.61	15.12	23.99
13.98	23.32	14.41
22.86	14.21	19.36
30.96	17.84	24.91
15.12	20.79	15.02
24.16	18.17	20.27
24.28	25.35	20.59
17.4	23.05	24.61
23.33	21.22	16.29
37.96	26.46	22.82
38.01	25.27	23.23
18.71	12.17	12.09
21.98	19.79	24.47
15.07	22.51	24.78
28.42	16.83	27.07
23.1	20.02	20.95
25.26	20.86	17.19
14.69	26.43	12.91
29.85	26.37	19.31
17.69	23.23	23.5
31.22	25.52	15.6
16.6	31.61	17.92
20.18	22.21	22.37
17.86	18.04	17.55
18.07	20.46	23.03
24.77	24.32	19.16
21.5	16.97	23.98
15.47	10.76	31.22
26.73	16.58	22.86
14.89	22.1	23.25
38.39	27.67	19.71
14.47	39.21	20.91
30.91	18.82	31.27
14.16	17.22	20.67
22	25.21	21.3
45.42	23.05	26.7
24.03	13.94	34.63
18.21	18.34	19.54
22.2	16.03	30.52
30.07	30.35	18.55
21.43	31.77	21.39
15.38	14.48	30.54
22.85	10.05	17.92
15.53	19.07	30.13
20.38	20.02	26.24
21.62	23.81	18.87
21.49	24.18	18.43
20.76	17.13	24.38
18.74	22.02	20.58
16.35	26.41	11.08
31.62	23.48	22.03
23.07	10.85	15.81
36.27	12.62	20.09
29.85	35.73	26.13
18.29	27.32	19.07
18.09	19.7	24.17
33.87	22.08	24.15
22.68	29.03	29.3
19.74	21.92	19.13
20.83	21.12	3.85
15.03	18.47	29.87
30.44	11.74	15.59
38.65	24.54	31.57
23.78	14.54	28.51
20.1	29.18	21.36
16.85	14.36	24.12
33.06	22.45	22.17
14.39	19.81	25.54
19.87	28.66	11.99
32.91	19.76	17.5
20.01	16.97	23.72
16.31	28.97	20.99
28.95	27.97	20.12
18.62	26.98	11.04
22.26	26.99	25.71
23.14	14.34	21.22
23.22	19.98	24.61
30.98	16.86	12.17
20.32	26.38	17.73
16.22	31.9	29.8
26.35	17.77	21.93
26.79	24.39	22.38
16.84	29.68	26.35
20.38	13.6	22.76
15.63	10.13	26.49
22.29	22.07	30.68
30.18	19.04	27.74
16.47	36.51	20.95
14.29	22.2	29.56
20.34	23.46	18.68
23.07	24.07	17.4
25.4	19.67	30.79
16.05	29.17	25.73
25.62	14.84	9.41
20.54	18.14	17.96
19.3	16.47	18.53
13.79	25.08	25.42
15.1	24.6	22.47
18.77	24.57	26.33
29.69	18.74	21.58
17.89	20.16	8.17
24.4	26.17	21.49
16.93	21.3	30.8
13.84	26.47	25.47
19.42	27.55	32.07
14.63	12.52	17.77
28.82	18.34	23.08
31.38	19.05	22.16
17.22	18.02	21.03
28.63	15.79	19.82
20.23	20.6	18.6
27.38	16.94	29.09
17.34	16.99	18.1
24.06	25.66	12.56
16.16	21.49	19.66
25.91	25.12	17.35
27.3	25.2	25.64
16.03	19.61	31.04
16.96	14.26	21.9
24.52	23.34	28.8
26.97	23.75	26.64
23.02	30.79	17.2
15.16	19.16	20.02
15.6	25.25	27.68
22.89	19.62	19.86
27.24	31.58	26.02
24.72	22.01	23.11
26.4	21.68	16.26
21.56	35.12	29.31
23.08	22.28	23.9
24.53	21.51	21.17
26.83	12.29	27.84
36.13	25.83	24
21.62	18.77	31.94
29.59	28	15.21
19.06	24.9	18.17
20.79	23.62	20.91
15.63	21.9	19.2
29.66	16.66	30.41
19.5	22.47	20.78
21.89	19.06	22.66
19.76	13.51	15.4
14.17	22.85	15.33
31.49	22.54	11.4
16.69	15.59	25.68
20.8	25.98	21.21
19.56	17.24	4.09
17.02	23.95	32.96
18.61	25.26	22.31
18.88	19.07	25.2
15.8	18.83	17.61
20.54	9.24	28.38
15.33	12.68	21.29
17.97	27.71	24.96
24.42	26.1	28.25
17.85	24.99	28.23
15.38	9.46	28.14
17.15	13.47	11.22
17.43	27.08	9.09
21.89	24.24	29.32
14.77	20.39	21.5
22.61	18.73	22.31
17.88	20.04	22.05
25.9	29.73	26.19
15.78	37.42	22.06
24.47	26.69	20.13
20.34	15.42	11.1
19.47	25.77	32.98
21.45	22.15	23.88
28.21	21.61	18.18
16.51	20.11	24.27
24.54	19.85	27.79
17.66	23.94	21.33
24.54	23.36	20.28
21.32	19.75	20.56
18.69	11.87	17.15
19.2	19.67	20.87
20.2	21	13.77
26.08	13.4	17.39
18	29.63	19
16.93	8.66	25.7
18.42	21.87	15.38
23.89	24.34	28.57
23.58	28.38	28.42
31.9	24.65	26.86
21.8	15.86	14.2
18.09	20.06	22.63
18.76	10.99	30.39
16.68	13.74	29.39
17.05	27.63	32.43
21.56	40.7	24.67
20.38	24.3	28.19
23.69	16.17	19.13
18.44	24.09	36.74
21.24	26.03	21
32.93	27.98	25.01
19.89	23.15	19.78
19.92	26.17	30.81
15.43	24.41	25.15
23.62	20.11	15.92
29.85	15.58	18.35
13.88	21.37	22.88
16.16	12.26	21.88
16.49	19.24	23.82
21.23	15.95	14.66
24.97	22.43	20.74
21.67	27.29	18.13
23.11	18.54	15.84
22.63	40.68	12.85
17.27	32.85	27.79
15.11	18.84	18.05
17.65	28.79	22.58
23.64	27.73	25.36
22.9	25.31	16.36
22.64	21.1	25.89
23.56	13.86	24.31
24.29	26.57	20.44
17.17	22.23	10.8
18.71	30.12	20.5
29.86	19.23	25.88
19.91	23.62	16.12
30.4	26.84	21.65
